"barcode"	"name"	"batch"	"condition"	"strain.int"	"Glucose.Avg.g.L."	"Xylose.Avg.g.L."	"Pyruvate.Avg.g.L."	"Xylitol.Avg.g.L."	"Succinate.Avg.g.L."	"Lactate.Avg.g.L."	"Glycerol.Avg.g.L."	"Formate.Avg.g.L."	"Acetate.Avg.g.L."	"Ethanol.Avg.g.L."	"Cellobiose.Avg.g.L."	"Glucose_consumed"	"Percent_glucose_consumed"	"Percent_yield"	"Blank_glucose"
"660"	"I0044078"	"20191209-f-262"	20191209	"f"	262	11.67878192	0	0	0	0	0.1281712288	0.3015247616	0.760429409	0	0.0456268066	0	11.8442030304	50.351615899829	0.753144565897002	23.5229849504
"511"	"I0043794"	"20191224-t-305"	20191224	"t"	305	11.0642615648	0	0	0	0	0.1284549808	0.447308757	0	0	1.3743362836	0	11.2558455104	50.4291734465129	23.8714612951779	22.3201070752
"56"	"I0035617"	"20190924-t-74"	20190924	"t"	74	9.9948318048	0	0	0.0306345971	0	0.1283342736	0.2925717718	0.7201683489	0.3210281324	1.2351795451	0	10.6944092992	51.6906794475529	22.5807002660082	20.689241104
"494"	"I0043763"	"20191216-f-278"	20191216	"f"	278	11.1193689056	0	0.0468752186	0	0.353655932	0.1279379216	0.3277427846	0	0.06747371188	0.8122090323	0	12.4400714208	52.8029157248699	12.7646543035284	23.5594403264
"69"	"I0035664"	"20200106-t-7"	20200106	"t"	7	10.7474610144	0.375370039	0	0	0	0.1275821056	0.5232507755	0	0	0.2062991565	0	12.3671030176	53.5035097373192	3.26132132565815	23.114564032
"587"	"I0043926"	"20191209-f-264"	20191209	"f"	264	10.8699337824	0	0	0	0	0.1281955504	0.3193239168	0.7200044821	0	0.0458050975	0	12.653051168	53.7901596871312	0.707754540361171	23.5229849504
"4"	"I0035173"	"20200106-f-4"	20200106	"f"	4	10.6259827296	0.3604336053	0.4860542148	0	0	0.1331211248	0.7576999438	0	0.01107311176	2.1026536887	0	12.4885813024	54.0290584114444	32.9168872883738	23.114564032
"203"	"I0037436"	"20191007-t-110"	20191007	"t"	110	9.9989358496	0	0	0	0	0	0	0	0	0.0828693339	0.00059559591	12.0946776768	54.7428679439327	1.33956461073775	22.0936135264
"115"	"I0035808"	"20191007-t-118"	20191007	"t"	118	9.8772972224	0	0	0	0	0	0	0	0	0.0418163569	0	12.216316304	55.2934280732418	0.669221740891024	22.0936135264
"163"	"I0037202"	"20190930-t-98"	20190930	"t"	98	9.85074344	0.0598488240666667	0	0	0	0.1290062704	0.415896858	0	0.124895576386667	1.27260696666667	0	12.3988880458667	55.7262624944716	20.0666868919913	22.2496314858667
"294"	"I0040587"	"20191028-f-170"	20191028	"f"	170	5.3855841344	0.1910224094	0	0	0	0.1278046032	0.8817663545	0	0.25017060888	2.4449100222	0	6.812507184	55.8489603510657	70.1649183317248	12.1980913184
"581"	"I0043913"	"NA-f-324"	NA	"f"	324	10.3846854336	0	0	0	0	0.128269416	0.6103117406	0.7234802074	0	0.0574290192	0	13.1526150304	55.879879047798	0.85365700219016	23.537300464
"608"	"I0043964"	"20191209-f-258"	20191209	"f"	258	10.3279494464	0	0	0	0	0.127364112	0.3165796348	0	0	0.0648444464	0	13.195035504	56.09422244593	0.960785279023642	23.5229849504
"435"	"I0041169"	"20191112-t-216"	20191112	"t"	216	5.0585342816	0	0	0	0	0.1280955616	0.2997861024	0	0	0.1338651383	0	6.6195396096	56.6834879730308	3.95370099773819	11.6780738912
"161"	"I0037194"	"20191007-f-111"	20191007	"f"	111	9.4773276096	0.007536526	0	0	0	0	0	0	1.02497549888	1.75660303	0	12.6162859168	57.1037684791789	27.2211344995643	22.0936135264
"643"	"I0044045"	"20191209-t-264"	20191209	"t"	264	10.0897833312	0	0	0	0	0.1298800464	0.3408904739	0.7323943772	0	0.119487152	0	13.4332016192	57.1067049846137	1.73902487073415	23.5229849504
"65"	"I0035645"	"20190924-f-67"	20190924	"f"	67	8.8385306944	0	1.9454937292	0	0	0.2761006048	0.5599200926	0	0	0.2773335681	0	11.8507104096	57.2795800002003	4.57532733127354	20.689241104
